#;title_es;title_en;description_es;description_en;link;fecha
1;Transformación digital en sistemas agroaliementarios. VIDEO APC Colombia.;Digital transformation in agri-food systems. VIDEO APC Colombia.;El equipo de "transformación digital en sistemas agroalimentarios" hace parte del portafolio de buenas prácticas APC Colombia.;The  team "digital transformation in agri-food systems" is part of the APC Colombia portfolio of good practices.;https://www.youtube.com/embed/kRjAwh4mo7Y;2022
2;Proyecto de impacto: Boyacá se adapta al cambio climático.;Impact project: Boyacá adapts to climate change.;The Digital Transformation in Agrifood Systems team is a strategic ally of the Boyacá adapts project and with its contributions in research and data analytics they complement the objective approach of the project, which is to focus on Climate-Adapted Sustainable Agriculture.;The Digital Transformation in Agrifood Systems team is a strategic ally of the Boyacá adapts project and with its contributions in research and data analytics they complement the objective approach of the project, which is to focus on Climate-Adapted Sustainable Agriculture.;https://www.youtube.com/embed/5DRgJein4VE;2022
3;Proyecto de impacto: Prueba prototipo sensor FONTAGRO;Impact project: FONTAGRO sensor prototype test;En el marco del proyecto "digitalización de la agricultura a pequeña escala" se ejecuta una primera fase de prueba de los sensores prototipos en una de las zonas de interés del proyecto: Vereda, Los cerrillos cauca.;Within the framework of the "digitalization of small-scale agriculture" project, a first test phase of the prototype sensors is carried out in one of the project's areas of interest: Vereda, Los cerrillos cauca.;https://www.youtube.com/embed/S216kU-BHVw;2022
4;EL CAMPO INNOVA CON LA TRANSFORMACIÓN DIGITAL DE LA EXTENSIÓN RURAL;EL CAMPO INNOVA WITH THE DIGITAL TRANSFORMATION OF RURAL EXTENSION;Una emisión del Ministerio de Agricultura y Desarrollo Rural MADR en el marco del proyecto #ElCampoInnova en la que Daniel Jiménez, PhD de la  transformación digital de la extensión rural.;Una emisión del Ministerio de Agricultura y Desarrollo Rural MADR en el marco del proyecto #ElCampoInnova en la que Daniel Jiménez, PhD de la  transformación digital de la extensión rural.;https://www.youtube.com/embed/Jnlil1KMaag;2021
5;Oportunidades y desafíos para el Ingeniero Agrónomo del futuro | Dr. Daniel Jiménez;Opportunities and challenges for the Agricultural Engineer of the future | Dr. Daniel Jiménez;Conferencia Magistral por Daniel Jiménez Líder de comunidad de práctica Agronomía guiada por los datos del CGIAR.;Keynote Lecture by Daniel Jiménez Leader of a community of practice Agronomy guided by CGIAR data;https://www.youtube.com/embed/bkhtXQxpDGg;2020
6;El extensionista agrícola del futuro - Sesión de la Convención de la CoP de 2020;Extension Agent of the Future - 2020 CoP Convention session;Webinar: En un mundo cada vez más digital con grandes desafíos para el sector agroalimentario (incluido COVID-19), ¿pueden los extensionistas ayudar a salvar el planeta? Esta sesión es una aventura a través de una época en la que definimos el futuro de la extensión agrícola mucho más allá de la producción agrícola sostenible.;Webinar: In an increasingly digital world with great challenges for the agrifood sector (including COVID-19), can extensionists help save the planet? This session is an adventure through time where we define the future of agricultural extension far beyond sustainable crop production. ;https://www.youtube.com/embed/7PczgwHWYyE;2020
7;Seminario web: Habilitación de la transformación de la agricultura basada en datos;Webinar - Enabling Data-Driven Transformation of Agriculture;Este seminario web de la comunidad de práctica de gestión de información y datos abordó las capacidades de datos críticas para que una organización agrícola tenga éxito en este nuevo panorama digital, incluida la calidad de los datos, la accesibilidad, la interoperabilidad, la ética y la gestión responsable de los datos.;This Information and Data Management Community of Practice webinar addressed the data capabilities critical for an agricultural organization to be successful in this new digital landscape, including data quality, accessibility, interoperability, ethics and responsible data management. ;https://www.youtube.com/embed/1FE7Z20A0fg;2020
8;Daniel Jimenez‐ Primer Panel Agrotech 2019;Daniel Jimenez‐ First Agrotech Panel 2019;Conferencia dictada por Daniel Jiménez: "hacia una agricultura digital climáticamente inteigente, sostenible adaptada al clima. Con temas principales de productividad, adaptación, mitigación y el uso de las TICS como clave para el desarrollo sostenible.";Lecture by Daniel Jiménez: "towards a climate-smart, sustainable digital agriculture adapted to the climate. With main issues of productivity, adaptation, mitigation and the use of ICTs as key to sustainable development.";https://www.youtube.com/embed/Rq7n8roB1MM;2019
9;Valor de los datos climáticos para los agricultores;Value of climate data for farmers;USAID ha ayudado a aprovechar el potencial de Big Data y las tecnologías de la información modernas para brindar a los agricultores información confiable sobre qué, dónde y cuándo plantar.;USAID has helped harness the potential of Big Data and modern information technologies to give farmers reliable information about what, where and when to plant.;https://player.vimeo.com/video/219533655;2017
10;Ganador del "Momentum for Change realizado por la CMNUCC";Winner of the "Momentum for Change held by the UNFCCC";Anuncio del equipo ganador del “Momentum for Change realizado por la Convención Marco de las Naciones Unidas sobre el Cambio Climático (CMNUCC).;Announcement of the winning team of the “Momentum for Change carried out by the United Nations Framework Convention on Climate Change (UNFCCC);https://www.youtube.com/embed/CkFbjFK_Fvg;2017
11;Cumbre GODAN 2016 NYC. Precision Ag: ¿Cómo podrían los datos abiertos revolucionar la productividad agrícola?;GODAN Summit 2016 NYC. Precision Ag: How could open data revolutionize agricultural productivity?;Conferencia dictada por Daniel Jiménez R, Ph.D. ;Conference given by Daniel Jiménez R, Ph.D.;https://www.youtube.com/embed/RAZ7gQPO_RU;2017
12;CLIMA ABIERTO - SERIE WEB DOCUMENTAL DE GODAN - EPISODIO 4;OPEN CLIMATE- GODAN DOCUMENTARY WEB SERIES - EPISODE 4;Los rendimientos del cultivo de arroz han disminuido en los últimos años en Colombia y se sospecha que el cambio climático es la causa. Agricultores, productores y científicos ahora se están uniendo para abrir conjuntos de datos agrícolas para mejorar el problema.;Rice farming yields have declined in recent years in Colombia and climate change is suspected as the cause. Farmers, producers, and scientists are now coming together to open up agriculture data sets to improve the problem.;https://www.youtube.com/embed/y9SwIpHT5A4;2017
13;Sylvain Delerce habla sobre nuevos procesos en la agricultura;Sylvain Delerce talks about new processes in agriculture;Los agricultores de América del Sur también están recurriendo a la tecnología para mejorar su temporada de cultivo. A CCTV America se une Sylvain Delerce, un científico asociado del Centro Internacional de Agricultura Tropical, para hablar sobre el proceso que su equipo está utilizando en los campos de arroz de Colombia.;Farmers in South America are also turning to technology to improve their crop season. CCTV America is joined by Sylvain Delerce, an associate scientist with the International Center for Tropical Agriculture, to talk about the process his team is using in Colombia's rice fields.;https://www.youtube.com/embed/djyA89qT_C0;2014
14;Entrevista Daniel Jimenez por reconocimiento Global Pulse 2014;Daniel Jimenez interview for Global Pulse 2014 recognition;Habla sobre el reconocimiento de la ONU en el que trabajan de la mano con Fedearroz en la que, en conjunto con los agricultores  desarrolllan proyectos que buscan mitigar y fortalecer con herramientas para adapsarlos mejor a los efectos del cambio climatico.  ;He talks about the recognition of the UN in which they work hand in hand with Fedearroz,  together with farmers, they develop projects that seek to mitigate and strengthen with tools to better adapt them to the effects of climate change.;https://www.youtube.com/embed/R-XRW8z7nek;2014
15;Entrevista dirigida por Claudia Palacios de la W radio a Daniel Jimenez;Interview directed by Claudia Palacios from W radio to Daniel Jimenez;1800 hectareas sembradas de arroz se salvaron de ser arrasadas gracias a las recomendaciones guiadas por los datos por el equipo de agricultura digital del CIAT.;1,800 hectares planted with rice were saved from being razed thanks to data-driven recommendations by CIAT's digital agriculture team.;https://www.youtube.com/embed/tcImCsG_Hy8;2014
16;Entrevista Daniel Jímenez (Noticiero Tele País);Interview Daniel Jímenez (Tele País News);Convenio con el ministerio de agricultura que propone preparase para la variabilidad climática en el contexto de cambio climativo y garantizar la seguridad alimentaria por medio de la adaptación, pronosticos y mitigación. ;Agreement with the Ministry of Agriculture that proposes to prepare for climate variability in the context of climate change and guarantee food security through adaptation, forecasting, and mitigation.;https://www.youtube.com/embed/1lhqZ4d91GY;2013
17;VIDEO: ¿Qué es agricultura específica por sitio? ¿Cómo compartimos experiencias?;VIDEO: What is site-specific agriculture? How do we share experiences?;AESCE fue un proyecto ejecutado por CIAT, ASOHOFRUCOL, y cofinanciado por el Fondo Nacional de Promoción de Frutas y Hortalizas (FNFH). Propuso compartir experiencias de éxitos y fracasos productivos entre los productores colombianos para ayudarlos a mejorar sus niveles de productividad.;AESCE was a project executed by CIAT, ASOHOFRUCOL, and co-financed by the National Fund for Fruit and Vegetable Promotion (FNFH). He proposed sharing experiences of productive successes and failures among Colombian producers in order to help them improve their productivity levels.;https://www.youtube.com/embed/qju9Y-X1mN8;2013
18;AESCE COMPARTIENDO EXPERIENCIAS;AESCE SHARING EXPERIENCES;;;https://www.youtube.com/embed/channel/UCZsL5S7h0oRx1fgUi1ByVWQ;2010