#;title_es;title_en;link;fecha;tipo
5;ELCAMPOINNNOVA CON LA TRANSFORMACIÓN DIGITAL DE LA EXTENSIÓN RURAL;THEFIELDINNOVATES WITH THE DIGITAL TRANSFORMATION OF RURAL EXTENSION;https://www.youtube.com/embed/Jnlil1KMaag;2021;video
3;CONFERENCIA: OPORTUNIDADES Y DESAFÍOS PARA EL INGENIERO AGRÓNOMO DEL FUTURO | DR. DANIEL JIMÉNEZ;CONFERENCE: OPPORTUNITIES AND CHALLENGES FOR THE AGRONOMIC ENGINEER OF THE FUTURE | DR. DANIEL JIMÉNEZ;https://www.youtube.com/embed/bkhtXQxpDGg;2020;video
4;AGENTE DE EXTENSIÓN DEL FUTURO - SESIÓN DE LA CONVENCIÓN DE LA COP 2020;EXTENSION AGENT OF THE FUTURE - 2020 COP CONVENTION SESSION;https://www.youtube.com/embed/7PczgwHWYyE;2020;video
8;PRESENTACIÓN: LA AGRICULTURA DIGITAL EN EL MUNDO EN DESARROLLO DJ JUNIO 2020;PRESENTATION: DIGITAL AGRICULTURE IN THE DEVELOPING WORLD DJ JUNE 2020;https://www.youtube.com/embed/iy_3lcSCwL8?list=FLgQ0Fn6bhxz4oAW_gP84eAw;2020;video
6;PRIMER PANEL AGROTECH 2019;FIRST AGROTECH PANEL 2019;https://www.youtube.com/embed/Rq7n8roB1MM;2019;video
7;CONFERENCIA DESARROLLO ICT FOR AG DANIEL JIMENEZ CGIAR;ICTFORAG CONFERENCE DEVELOPMENT DANIEL JIMENEZ CGIAR;https://www.youtube.com/embed/Rq7n8roB1MM;2019;video
15;WEBINAR ORIGEN DE LA ASIMETRIA: LA NECESIDAD DE ESTÁNDARES EN LOS SERVICIOS BASADOS EN DATOS PARA LA AGRICULTURA;WEBINAR ORIGIN OF ASYMMETRY: THE NEED FOR STANDARDS DRIVENSERCIVES FOR AGRICULTURE.;https://www.youtube.com/embed/1FE7Z20A0fg;2019;video
1;EL VALOR DE LOS DATOS DE CLIMA PARA LOS AGRICULTORES;VALUE OF CLIMATE DATA TO FARMERS;https://player.vimeo.com/video/219533655;2018;video
9;MOMENTO PARA EL CAMBIO EVENTO # UNITING4CLIMATE;MOMENTUM FOR CHANGE SHOWCASE EVENT #UNITING4CLIMATE;https://www.youtube.com/embed/HHfFLbkVLmg;2017;video
2;GODAN Summit 2016 NYC. Precision Ag: ¿Cómo podrían los datos abiertos revolucionar la productividad agrícola?;GODAN Summit 2016 NYC. Precision Ag: How Could Open Data Revolutionize Farm Productivity?;https://www.youtube.com/embed/RAZ7gQPO_RU;2017;video
14;OPEN CLIMATE - SERIE WEB DOCUMENTAL DE GODAN - EPISODIO 4;OPEN CLIMATE -  WEB SERIES DOCUMENTAL OF GODAN - EPISODE 4;https://www.youtube.com/embed/y9SwIpHT5A4;2017;video
13;ENTREVISTA CCTV 2014;INTERVIEW CCTV 2014;https://www.youtube.com/embed/djyA89qT_C0;2014;video
15;AUDIO: MENCIÓN Y PARTICIPACIÓN EN RCN;AUDIO: MENTION AND PARTICIPATION IN RCN;https://www.youtube.com/embed/R-XRW8z7nek;2014;video
16;AUDIO: MENCIÓN Y PARTICIPACIÓN EN LA W RADIO;AUDIO:AUDIO: MENTION AND PARTICIPATION IN W RADIO;https://www.youtube.com/embed/tcImCsG_Hy8;2014;video
11;ENTREVISTA 2013 TELE PAÍS: ;INTERVIEW 2013 Tele País;https://www.youtube.com/embed/1lhqZ4d91GY;2013;video
12;AESCE  ¿QUE ES AGRICULTUR ESPECIFICA POR SITIO? ¿CÓMO COMPARTIMOS EXPERIENCIAS?;AESCE WHAT IS SITE-SPECIFIC AGRICULTURE? HOW DO WE SHARE EXPERIENCES?;https://www.youtube.com/embed/qju9Y-X1mN8;2013;video
10;AESCE COMPARTIENDO EXPERIENCIAS;AESCE SHARING EXPERIENCES;https://www.youtube.com/embed/naSiH8kH9rI;2010;video